So'z                 | Chastota (marta)
-----------------------------------
begin                | 100007    
end                  | 100003    
va                   | 37306     
bilan                | 14954     
uchun                | 13304     
bu                   | 10011     
ham                  | 9727      
bir                  | 7027      
bo'yicha             | 6219      
davlat               | 5792      
bo'lgan              | 5069      
mumkin               | 4747      
o'zbekiston          | 4518      
yil                  | 4409      
ta'lim               | 4154      
tomonidan            | 3968      
ta                   | 3957      
shu                  | 3900      
qilish               | 3869      
o'z                  | 3725      
u                    | 3698      
bo'lib               | 3658      
kuni                 | 3617      
ko'ra                | 3437      
hamda                | 3404      
yoki                 | 3402      
olib                 | 3256      
yangi                | 3228      
tashkil              | 3187      
esa                  | 3132      
ushbu                | 3049      
har                  | 3014      
amalga               | 2948      
qabul                | 2928      
deb                  | 2911      
ishlab               | 2885      
oliy                 | 2841      
uning                | 2826      
eng                  | 2737      
shuningdek           | 2662      
boshqa               | 2659      
kerak                | 2649      
haqida               | 2573      
orqali               | 2522      
barcha               | 2465      
axborot              | 2420      
toshkent             | 2312      
edi                  | 2281      
olish                | 2237      
bo'ladi              | 2235      
ega                  | 2225      
bor                  | 2155      
xalqaro              | 2122      
ijtimoiy             | 2120      
yilda                | 2118      
joriy                | 2010      
rossiya              | 1988      
ma'lum               | 1987      
etish                | 1961      
katta                | 1907      
ko'p                 | 1860      
qanday               | 1857      
ming                 | 1836      
ular                 | 1799      
xabar                | 1784      
bosh                 | 1773      
qildi                | 1748      
birinchi             | 1742      
qarshi               | 1729      
ikki                 | 1705      
ish                  | 1697      
emas                 | 1697      
o'tgan               | 1669      
bo'lsa               | 1666      
asosiy               | 1663      
asosida              | 1657      
ularning             | 1645      
nafar                | 1623      
yilning              | 1561      
bo'ldi               | 1544      
sifatida             | 1534      
respublikasi         | 1524      
mazkur               | 1511      
iqtisodiy            | 1502      
qilib                | 1488      
qayd                 | 1487      
qiladi               | 1458      
yana                 | 1442      
yuqori               | 1441      
qilingan             | 1440      
ishtirok             | 1439      
biz                  | 1432      
qilgan               | 1417      
o'quv                | 1416      
